地区,名字,价格,最低总价,最高总价,是否VR看房
大兴,德贤华府,57000,380,828,1
房山,万年广阳郡九号,50000,830,1300,1
房山,天资华府,38000,420,1000,1
房山,韩建·观山源墅,40000,1200,1500,1
房山,水墨林溪,22400,171,220,0
房山,中粮京西祥云,58000,855,891,1
房山,水岸壹号,43000,560,720,1
房山,天恒摩墅,23000,320,530,1
房山,京西悦府,33000,396,430,1
房山,首创伊林郡,36500,290,380,1
房山,长海御墅,23000,420,1086,0
房山,FCC中央城,30000,140,140,0
房山,旭辉城,28500,219,330,1
房山,金樾和著,34000,300,450,1
房山,京西悦府,50000,800,800,1
房山,金地·大湖风华,33000,265,295,1
房山,龙湖熙湖悦著,37000,280,700,1
房山,北京华发中央公园,41000,340,600,1
房山,金地·大湖风华,33000,680,680,1
房山,中国铁建澜廷墅,32000,300,300,1
房山,中骏云景台,28000,215,275,1
房山,中国铁建澜廷墅,28000,616,750,1
房山,中海寰宇视界,58000,300,800,1
房山,首开熙悦观湖,36000,750,750,0
房山,长海御墅,15000,110,200,0
房山,中建·京西印玥,43000,320,490,0
房山,金地璟宸,41000,410,660,1
房山,天资陸号院,39000,208,570,1
房山,北京半岛,45000,1300,1800,0
房山,长阳光和作用,37000,320,439,1
丰台,首开璞瑅公馆,106000,2200,2500,0
丰台,西山甲一号,63000,900,1200,1
丰台,燕西华府,42000,800,800,1
丰台,紫辰院,128000,4100,4100,1
丰台,龙湖西宸广场,50000,500,500,0
丰台,融达国际,99800,0,0,0
丰台,燕西华府,52000,1760,5000,1
丰台,中粮天恒天悦壹号,85000,1250,1250,0
丰台,丰台金茂广场,63000,0,0,0
丰台,保利佲悦大都汇,63000,0,0,0
丰台,保利佲悦大都汇,63000,0,0,0
丰台,泰禾金府大院,82000,1700,1800,1
丰台,珠光御景西园,39000,520,620,1
丰台,元熙华府,87000,1113,1300,1
丰台,泰禾金府大院,75000,2900,3500,1
丰台,电建地产洺悦苑,63000,830,1200,0
丰台,中粮天恒天悦壹号,85000,1900,2800,1
丰台,葛洲坝中国府,135000,2500,3200,1
丰台,懋源·璟岳,140000,6500,9000,1
丰台,万科雲庐,39000,510,620,1
丰台,万科雲庐,39000,830,850,1
丰台,熙悦天寰,58000,650,900,1
丰台,中海甲叁號院,109000,1600,2500,1
丰台,合生·缦云,130000,2300,3200,0
丰台,懿府时光里,29700,660,660,0
丰台,东叁金茂府,107500,1900,2150,1
丰台,世茂北京天誉,120000,1750,2850,1
丰台,国誉万和城,82000,1100,1300,1
丰台,葛洲坝中国府,115000,2800,3450,1
丰台,首创 天阅山河,80000,950,1350,1
丰台,西甲时代中心,27000,65,130,0
丰台,熙悦晴翠,68000,374,1066,0
丰台,西山金茂府,55000,650,800,1
丰台,翡翠西湖,41230,330,375,1
丰台,翡翠西湖,37000,940,1050,1
怀柔,天恒半山世家,50000,1848,2500,1
怀柔,水岸雁栖,36000,180,555,1
怀柔,北京城建·府前龙樾,43550,454,745,1
怀柔,北科建·翡翠华府,36800,155,580,1
怀柔,长城璞院,20000,521,626,1
怀柔,越秀天恒.怀山府,36000,335,1260,1
怀柔,越秀天恒.怀山府,42000,650,1260,0
怀柔,悦谷新城,20000,150,240,0
门头沟,华远裘马四季,55000,950,1100,1
门头沟,檀香府,45000,1060,1870,1
门头沟,中骏西山天璟,65000,700,860,1
门头沟,北京城建·龙樾西山,48000,650,650,1
门头沟,远洋新天地,25000,115,115,0
门头沟,首开保利欢乐大都汇,30000,0,0,0
门头沟,首开保利欢乐大都汇,65000,500,500,0
门头沟,西长安壹号,33000,135,135,0
门头沟,檀香府,43000,530,750,1
门头沟,华萃西山,48000,666,666,1
门头沟,华萃西山,52000,780,1100,1
门头沟,鸿瑞西峰·溪悦府,45000,1500,1800,1
门头沟,西山相府,58000,750,850,1
门头沟,中建·长安麓府,58000,420,810,1
门头沟,中昂时代广场,35000,130,130,0
密云,观唐云鼎,30000,499,499,1
密云,奥园雲水院,25000,230,630,1
密云,万科弗农小镇,25000,350,650,0
密云,奥园雲水院,22000,250,250,1
密云,观唐云鼎,30000,1068,1850,1
密云,京投发展·锦悦府,25607,220,220,0
密云,京投发展·锦悦府,25607,400,560,0
密云,阳光城溪山悦,25000,280,460,1
密云,恒大上河院,27000,213,370,0
密云,国祥府,28000,203,343,1
平谷,首城汇景墅,25000,770,850,1
平谷,都丽华府,29000,290,730,1
平谷,京投发展璟悦府,28000,440,482,1
平谷,和棠瑞著,19000,530,760,1
平谷,禧瑞金海,22000,180,220,1
平谷,禧瑞金海,22000,285,380,1
平谷,国风金海,22000,120,190,1
平谷,中国铁建·梧桐浅山,15000,135,165,1
平谷,国风金海,18900,560,560,1
平谷,天润香墅湾1号,34000,290,1400,1
石景山,绿地环球文化金融城,43000,0,0,0
石景山,远洋五里春秋,52024,1000,1000,1
石景山,绿城西府海棠,52024,1200,1200,1
石景山,远洋五里春秋,52024,1350,1480,1
石景山,禧悦学府,62000,1300,1300,0
石景山,长安九里,52000,1200,1200,1
石景山,长安悦玺,80000,770,1400,1
石景山,远洋源山春秋,93000,2580,3500,0
石景山,远洋源山春秋,93000,3100,4250,0
石景山,中海寰宇天下·天赋,75000,528,1150,1
顺义,北辰墅院1900,42000,1050,1203,0
顺义,炫立方,30000,0,0,0
顺义,旭辉26街区,36000,200,200,0
顺义,顺鑫颐和天璟,33000,360,480,1
顺义,顺鑫颐和天璟,33000,790,810,1
顺义,誉天下盛寓,65000,720,720,1
顺义,北京城建北京合院,47000,450,620,1
顺义,北京城建北京合院,45000,850,1300,1
顺义,首创·河著,41000,1200,1900,1
顺义,公园十七区,55000,820,1200,1
顺义,国誉府,41000,560,560,1
顺义,建邦·顺颐府,55583,467,845,0
顺义,中铁诺德阅墅,62000,1300,1700,1
顺义,合景泰富天汇,33000,330,530,1
顺义,金茂北京国际社区,32000,170,395,1
顺义,建邦·顺颐府,55583,1300,1300,0
顺义,金禧璞瑅,47000,650,750,1
顺义,金禧璞瑅,36000,1250,1450,1
顺义,旭辉26街区,33500,166,166,0
顺义,住总正华新国展满庭芳,20000,186,186,0
顺义,迈宇平墅,34000,658,732,1
顺义,路劲御和府,42000,270,530,1
顺义,龙湖云河砚,38500,350,465,1
顺义,龙湖云河砚,38500,700,900,1
顺义,公园都会,39000,280,540,1
顺义,艾迪公园,26000,310,360,0
顺义,中建宸庐,42000,500,580,0
顺义,和光瑞府,62000,700,950,1
顺义,和锦华宸,39000,390,490,1
通州,国誉未来悦,56000,230,780,1
通州,运河铭著,49000,490,950,1
通州,鲁能格拉斯小镇,60000,1365,2160,1
通州,首开缇香郡,25000,440,530,1
通州,合景寰汇公馆,45000,480,550,1
通州,K2十里春风,24500,195,222,1
通州,K2十里春风,28000,426,436,1
通州,金隅花石匠,51000,580,580,0
通州,首开香溪郡,35000,650,650,1
通州,京贸国际公馆,64000,490,950,1
通州,京贸国际城·峰景,68000,540,930,1
通州,新潮嘉园二期,58000,384,384,0
通州,远洋悦满街,38000,200,200,0
通州,珠江阙,72000,2600,2600,0
通州,华业玫瑰东筑,51000,615,730,1
通州,北京东湾,69600,400,1060,0
通州,城市之光·东望,54163,450,800,1
通州,泰晤士印象二期,28000,249,324,1
通州,金悦郡,39000,290,490,1
通州,明月听蘭,58000,690,820,1
通州,鑫苑·盛世天玺,63000,540,800,1
通州,亦庄橡树湾,45000,410,650,1
通州,逸山水,30000,0,0,0
通州,香溪家园,47500,609,609,0
通州,春和景明,69600,1100,1600,1
通州,金隅花石匠二期西区,43000,600,600,0
通州,金融街武夷·融御（二期）,66000,500,1235,1
通州,金地北京壹街区,45000,315,860,1
通州,碧桂园·和世界,56000,308,770,0
